Time ,CWND1,CWND3
4.31614,492048,492048
4.31839,492584,492584
4.31976,493120,493120
4.32134,493656,493656
4.32306,494192,494192
4.32444,494728,494728
4.32601,495264,495264
4.32739,495800,495800
4.32876,496336,496336
4.33033,496872,496872
4.33171,497408,497408
4.33309,497944,497944
4.33466,498480,498480
4.33604,499016,499016
4.33741,499552,499552
4.33899,500088,500088
4.34036,500624,500624
4.34174,501160,501160
4.34331,501696,501696
4.34469,502232,502232
4.34606,502768,502768
4.34764,503304,503304
4.34901,503840,503840
4.35039,504376,504376
4.35196,504912,504912
4.35334,505448,505448
4.35471,505984,505984
4.35629,506520,506520
4.35766,507056,507056
4.35904,507592,507592
4.36061,508128,508128
4.36199,508664,508664
4.36336,509200,509200
4.36494,509736,509736
4.36631,510272,510272
4.36769,510808,510808
4.36926,511344,511344
4.37064,511880,511880
4.37201,512416,512416
4.37359,512952,512952
4.37496,513488,513488
4.37634,514024,514024
4.37791,514560,514560
4.37929,515096,515096
4.38067,515632,515632
4.38224,516168,516168
4.38361,516704,516704
4.38499,517240,517240
4.38656,517776,517776
4.38794,518312,518312
4.38932,518848,518848
4.39089,519384,519384
4.39227,519920,519920
4.39364,520456,520456
4.39521,520992,520992
4.39659,521528,521528
4.39797,522064,522064
4.39954,522600,522600
4.40092,523136,523136
4.40229,523672,523672
4.40387,524208,524208
4.40524,524744,524744
4.40662,525280,525280
4.40819,525816,525816
4.40957,526352,526352
4.41094,526888,526888
4.41252,527424,527424
4.41389,527960,527960
4.41527,528496,528496
4.41684,529032,529032
4.41822,529568,529568
4.41959,530104,530104
4.42117,530640,530640
4.42254,531176,531176
4.42392,531712,531712
4.42549,532248,532248
4.42687,532784,532784
4.42824,533320,533320
4.42982,533856,533856
4.43119,534392,534392
4.43257,534928,534928
4.43414,535464,535464
4.43552,536000,536000
4.43689,536536,536536
4.43847,537072,537072
4.43984,537608,537608
4.44122,538144,538144
4.44279,538680,538680
4.44418,539216,539216
4.44556,539752,539752
4.44713,540288,540288
4.44851,540824,540824
4.44988,541360,541360
4.45146,541896,541896
4.45283,542432,542432
4.45421,542968,542968
4.45578,543504,543504
4.45716,544040,544040
4.45853,544576,544576
4.46011,545112,545112
4.46148,545648,545648
4.46286,546184,546184
4.46443,546720,546720
4.46581,547256,547256
4.46718,547792,547792
4.46876,548328,548328
4.47013,548864,548864
4.47151,549400,549400
4.47308,549936,549936
4.47446,550472,550472
4.47583,551008,551008
4.47741,551544,551544
4.48046,552080,552080
4.48125,128480,128480
4.48184,127944,127944
4.48309,127739,127739
4.48388,127467,127467
4.48525,127195,127195
4.48604,126726,126726
4.48663,126454,126454
4.48742,126257,126257
4.4882,125985,125985
4.48958,125713,125713
4.49037,125244,125244
4.49174,124971,124971
4.49253,124502,124502
4.49312,124230,124230
4.4939,124033,124033
4.49469,123761,123761
4.49607,123489,123489
4.49685,123020,123020
4.49823,122748,122748
4.49902,122279,122279
4.49961,122007,122007
4.50039,121810,121810
4.50118,121537,121537
4.52911,121265,121265
4.5299,120796,120796
4.53215,120524,120524
4.53293,120055,120055
4.53352,119783,119783
4.53437,119586,119586
4.53515,119314,119314
4.5374,119042,119042
4.53819,118573,118573
4.53962,118300,118300
4.54041,117831,117831
4.541,117559,117559
4.54266,117362,117362
4.54345,117090,117090
4.54482,116818,116818
4.54561,116349,116349
4.54733,116077,116077
4.54812,115608,115608
4.54871,115336,115336
4.54949,115139,115139
4.55028,114867,114867
4.55166,114594,114594
4.55244,114125,114125
4.55382,113853,113853
4.55461,113384,113384
4.55519,113112,113112
4.55598,112915,112915
4.55677,112643,112643
4.55814,112371,112371
4.55893,111902,111902
4.56031,111630,111630
4.56109,111160,111160
4.56168,110888,110888
4.56247,110691,110691
4.56326,110419,110419
